make,model,mileage_mi,manufacture_year,engine_displacement,engine_power,body_type,transmission,door_count,seat_count,fuel_type,priceUSD,country,exterior_color,city
volkswagen,tiguan,80730,2012,1968,103,other,A,,NA,diesel,1398.9672,EU,NA,NA
fiat,croma,74520,2006,1910,110,other,A,5,5,,5940,EU,NA,NA
fiat,grande-punto,65144.763,2007,1368,57,compact,M,5,5,gasoline,5875.200000000001,EU,NA,NA
skoda,roomster,28566,2010,1390,63,other,M,4,5,,9169.2,EU,NA,NA
volvo,v50,73133.928,2008,1560,79,other,M,5,5,,10767.6,EU,NA,NA
citroen,c1,17822.7,2013,998,50,,M,None,4,gasoline,7776.561600000001,EU,NA,NA
nissan,almera-tino,54027,2005,1769,85,other,M,5,5,,4266,EU,NA,NA
skoda,octavia,6788.151,2015,1968,135,stationwagon,M,5,5,diesel,1398.9672,EU,NA,NA
volkswagen,polo,18381.6,2014,1198,52,other,M,5,5,,12733.2,EU,NA,NA
porsche,cayenne,9315,2014,4806,382,other,A,5,5,,129481.20000000001,EU,NA,NA
audi,a3,13286.916,2013,1968,110,other,M,4,NA,,19050.8112,EU,NA,NA
skoda,fabia,2380.293,2015,1197,66,other,M,5,5,,1398.9672,EU,NA,NA
audi,a4,115506,2009,1201,176,compact,A,None,NA,gasoline,15948.1872,EU,NA,NA
renault,laguna,114422.355,2001,1783,88,other,M,4,5,,1618.9632000000001,EU,NA,NA
opel,adam,3105,2015,999,85,other,M,3,4,,18198,EU,NA,NA
citroen,c4,75585.636,2013,1560,82,other,A,4,7,,9084.7548,EU,NA,NA
bmw,x5,24840,2009,2993,210,other,A,5,5,,21600,EU,NA,NA
nissan,almera,41004.63,2006,1497,72,other,M,4,5,,4316.76,EU,NA,NA
ford,galaxy,55129.896,2012,2179,147,other,M,4,7,,20390.4,EU,NA,NA
fiat,grande-punto,66447,2008,1368,70,other,M,2,5,,4206.168000000001,EU,NA,NA
nissan,primera,107433,2003,1998,103,,M,4,5,gasoline,3242.6352,EU,NA,NA
lexus,rx-450h,15657.273,2012,3456,220,other,A,4,5,,33163.7112,EU,NA,NA
volkswagen,golf,155.25,2016,1395,110,other,A,4,5,,36325.6488,EU,NA,NA
ford,focus,32187.051,2006,1596,74,other,M,5,5,,7117.200000000001,EU,NA,NA
audi,a4,144838.314,2009,1968,105,,A,4,NA,diesel,10520.3664,EU,NA,NA
bmw,x3,119589.075,2005,1995,110,other,M,4,5,,10803.553200000002,EU,NA,NA
volkswagen,tiguan,28050.57,2013,1968,103,other,M,5,5,,23902.29,EU,NA,NA
skoda,roomster,115086.825,2007,1896,77,,M,5,5,diesel,3597.2964,EU,NA,NA
honda,civic,33534,2008,1799,103,,A,4,5,gasoline,9180.6804,EU,NA,NA
skoda,fabia,80109,2000,1397,44,,M,5,5,gasoline,2397.8268000000003,EU,NA,NA
skoda,octavia,69874.92,2009,1400,90,coupe,M,5,5,gasoline,1398.9672,EU,NA,NA
citroen,c1,93150,2008,998,50,other,M,2,4,,3190.4820000000004,EU,NA,NA
mazda,cx-5,0.621,2016,2191,110,other,M,4,5,,29797.2,EU,NA,NA
renault,clio,9623.016,2015,900,66,other,M,5,5,,18252,EU,NA,NA
opel,zafira,37881,2014,1956,100,,M,None,5,diesel,16510.251600000003,EU,NA,NA
porsche,cayenne,97497,2003,4511,330,,A,4,5,gasoline,10800,EU,NA,NA
mazda,mx-5,90355.5,2000,1597,81,other,M,2,2,,1243.8036000000002,EU,NA,NA
volkswagen,passat,7475.598,2015,1968,110,other,A,4,5,,26956.627200000003,EU,NA,NA
opel,astra,81092.043,2005,1364,66,other,M,5,5,,1398.9672,EU,NA,NA
hyundai,i10,1712.718,2016,1000,49,coupe,M,5,5,gasoline,1398.9672,EU,NA,NA
opel,antara,55890,2006,2000,110,,M,5,5,diesel,8424,EU,NA,NA
toyota,aygo,4936.95,2015,998,51,,M,4,4,gasoline,9941.119200000001,EU,NA,NA
smart,fortwo,67809.474,2004,698,45,,M,2,2,diesel,2700.1188,EU,NA,NA
volvo,v40,6085.8,2015,1969,88,other,M,5,5,,28069.2,EU,NA,NA
volkswagen,golf,36018,2008,1390,59,stationwagon,M,5,5,gasoline,1398.9672,EU,NA,NA
peugeot,206,82841.4,2002,1124,44,other,M,3,5,,1294.92,EU,NA,NA
ford,transit,138038.364,2008,2198,81,stationwagon,M,4,9,diesel,1398.9672,EU,NA,NA
mercedes-benz,190,141339.6,1991,1996,90,,M,4,5,gasoline,3782.2356000000004,EU,NA,NA
volvo,s60,55249.128,2011,2000,119,other,A,4,5,,20984.4,EU,NA,NA
ford,focus,21300.3,2006,1596,74,other,M,5,5,,5940,EU,NA,NA
toyota,yaris,97447.941,2007,1364,66,,M,4,5,diesel,6470.1720000000005,EU,NA,NA
audi,a4,127305,1998,1595,74,,M,4,5,gasoline,1393.3728,EU,NA,NA
volvo,xc60,61.479,2014,2400,133,other,A,4,5,,39444.22440000001,EU,NA,NA
hyundai,ix35,20601.054,2013,1700,85,other,M,5,5,,26980.02,EU,NA,NA
volkswagen,tiguan,13041,2014,1968,103,other,M,4,5,,30066.206400000003,EU,NA,NA
volkswagen,golf,15784.578,2015,1598,81,other,A,4,5,,25898.4,EU,NA,NA
fiat,seicento,49680,2004,1108,40,other,M,3,5,,2808,EU,NA,NA
volkswagen,golf,2980.179,2015,1197,81,other,M,5,5,,18338.4,EU,NA,NA
bmw,x6,52785,2013,4395,408,other,A,4,4,,51770.728800000004,EU,NA,NA
ford,fiesta,108675,2001,1299,44,other,M,4,5,,702,EU,NA,NA
peugeot,partner,53604.099,2013,1560,65,other,M,,3,,9709.2,EU,NA,NA
kia,carnival,62149.68,2007,2902,136,,A,4,6,diesel,5389.804800000001,EU,NA,NA
toyota,prius,89048.295,2009,1798,73,other,A,5,5,,11286,EU,NA,NA
renault,scenic,15349.257,2014,1461,82,other,M,5,5,,17269.2,EU,NA,NA
citroen,c3,34652.421,2011,1397,70,,M,4,5,gasoline,10790.4096,EU,NA,NA
renault,twingo,1552.5,2015,999,52,other,M,5,4,,12949.2,EU,NA,NA
ford,fiesta,83636.28,2013,1560,70,other,M,5,5,,10740.6,EU,NA,NA
ford,galaxy,169533,2008,1997,103,other,A,5,7,,1398.9672,EU,NA,NA
skoda,fabia,63627.659999999996,2012,1200,63,other,M,5,5,,1398.9672,EU,NA,NA
fiat,punto,68931,2006,1368,70,other,M,3,5,,2757.9528,EU,NA,NA
renault,twingo,47817,2001,1243,43,other,M,,NA,,1398.9672,EU,NA,NA
opel,corsa,37538.829,2012,1229,51,other,M,3,5,,4860,EU,NA,NA
